,NHE_NA,NHE_P,NHE_NU,NHE_N,ASRV_NA,ASRV_P,ASRV_NU,ASRV_N,EXC_NA,EXC_P,EXC_NU,EXC_N,TMC_NA,TMC_P,TMC_NU,TMC_N,TMS_NA,TMS_P,TMS_NU,TMS_N,HCL_NA,HCL_P,HCL_NU,HCL_N,LRA_NA,LRA_P,LRA_NU,LRA_N,MM_NA,MM_P,MM_NU,MM_N,NCO_NA,NCO_P,NCO_NU,NCO_N,NSL_NA,NSL_P,NSL_NU,NSL_N,NRP_NA,NRP_P,NRP_NU,NRP_N,EO_NA,EO_P,EO_NU,EO_N,UMD_NA,UMD_P,UMD_NU,UMD_N,UMI_NA,UMI_P,UMI_NU,UMI_N,UP_NA,UP_P,UP_NU,UP_N
Expandability,2,0,36,133,0,0,27,144,0,0,25,146,1,0,18,152,0,0,12,159,0,0,23,148,2,0,21,148,1,0,21,149,4,0,37,130,3,0,67,101,2,0,119,50,0,0,14,157,1,0,9,161,0,0,24,147,0,0,23,148
Simplicity,2,0,44,125,0,15,38,118,0,0,16,155,1,0,0,170,0,0,24,147,0,0,42,129,2,20,22,127,1,32,9,129,4,42,9,116,3,35,24,109,2,12,120,37,0,0,5,166,1,0,10,160,0,0,5,166,0,0,14,157
Reusability,2,0,42,127,0,0,26,145,0,0,22,149,1,0,16,154,0,0,12,159,0,0,27,144,2,0,9,160,1,0,27,143,4,0,18,149,3,16,39,113,2,0,69,100,0,0,20,151,1,0,23,147,0,0,30,141,0,0,24,147
Learnability,2,0,41,128,0,0,24,147,0,0,16,155,1,0,10,160,0,0,21,150,0,0,30,141,2,0,37,132,1,7,44,119,4,0,61,106,3,21,49,98,2,4,116,49,0,0,23,148,1,0,21,149,0,0,13,158,0,0,63,108
Understandability,2,0,26,143,0,0,28,143,0,0,11,160,1,0,7,163,0,0,15,156,0,0,19,152,2,6,34,129,1,0,40,130,4,0,35,132,3,15,68,85,2,9,102,58,0,0,17,154,1,0,18,152,0,0,10,161,0,0,14,157
Modularity,2,0,75,94,0,0,21,150,0,0,15,156,1,0,43,127,0,0,23,148,0,0,31,140,2,0,22,147,1,0,38,132,4,0,61,106,3,0,64,104,2,0,28,141,0,0,16,155,1,0,58,112,0,0,14,157,0,0,29,142
